rank,book,authors,year,country,language
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
26,The Odyssey,Homer,-740,Greek,Ancient greek
37,The Iliad,Homer,-750,Greek,Ancient greek
28,The Divine Comedy,Dante Alighieri,1308,Italian,Italian
75,Hamlet,William Shakespeare,1600,British,English
21,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek"
2,In Search of Lost Time,Marcel Proust,1913,French,French
73,The Aeneid,Virgil,-19,Roman,Latin
80,Essays,Michel de Montaigne,1580,French,French
19,Madame Bovary,Gustave Flaubert,1857,French,French
14,Wuthering Heights,Emily Brontë,1847,British,English
107,Oedipus the King,Sophocles,-429,Greek,Ancient greek
146,King Lear,William Shakespeare,1608,British,English
48,One Thousand and One Nights,Unknown,800,Multiple,Arabic
2284,The Collected Works of St. John of the Cross,St. John of the Cross,1578,Spanish,Spanish
166,Macbeth,William Shakespeare,1606,British,English
440,De Rerum Natura,Lucretius,55,Roman,Latin
610,Life Is a Dream,Pedro Calderón de la Barca,1635,Spanish,Spanish
254,The Epic Of Gilgamesh,Unknown,-2100,Multiple,Akkadian
1,Ulysses,James Joyce,1922,Irish,English
142,Antigone,Sophocles,-441,Greek,Ancient greek
1614,Phaedo,Plato,-379,Greek,Ancient greek
487,La Regenta,Clarín,1884,Spanish,Spanish
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
508,Petrarch's Songbook,Francesco Petrarca,1341,Italian,Italian
164,Poems of Emily Dickinson,Emily Dickinson,1890,American,English
505,Family Sayings,Natalia Ginzburg,1963,Italian,Italian
10,Anna Karenina,Leo Tolstoy,1877,Russian,Russian
615,The Life of Lazarillo de Tormes,Unknown,1554,Spanish,Spanish
12,War and Peace,Leo Tolstoy,1869,Russian,Russian
756,The Swindler,Francisco de Quevedo,1626,Spanish,Spanish
439,"The Sea, The Sea",Iris Murdoch,1978,British,English
47,Fictions,Jorge Luis Borges,1944,Argentinian,Spanish
29,The Magic Mountain,Thomas Mann,1924,German,German
751,Poems by Machado,Antonio Machado,1907,Spanish,Spanish
2385,Phaedrus,Plato,-370,Greek,Ancient greek
1293,The Interior Castle,Teresa of Avila,1588,Spanish,Spanish
83,The Man Without Qualities,Robert Musil,1930,Austrian,German
20,The Trial,Franz Kafka,1925,Czech,German
78,The Metamorphosis,Franz Kafka,1915,Czech,German
144,Pedro Páramo,Juan Rulfo,1955,Mexican,Spanish
123,Decameron,Giovanni Boccaccio,1353,Italian,Italian
502,Celestina Or The Tragic-Comedy Of Calisto And Melibea,Fernando de Rojas,1499,Spanish,Spanish
220,The Tempest,William Shakespeare,1623,British,English
18,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian
13,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian
43,The Red and the Black,Stendhal,1830,French,French
76,Emma,Jane Austen,1815,British,English
861,Poet in New York,Federico García Lorca,1940,Spanish,Spanish
54,The Life And Opinions Of Tristram Shandy,Laurence Sterne,1759,British,English
1037,The Solitudes,Luis de Góngora,1613,Spanish,Spanish
783,The Book of the City of Ladies,Christine De Pizan,1405,French,French
171,Love in the Time of Cholera,Gabriel García Márquez,1985,Colombian,Spanish
85,Leaves of Grass,Walt Whitman,1855,American,English
93,Demons,Fyodor Dostoevsky,1872,Russian,Russian
31,Heart of Darkness,Joseph Conrad,1899,British,English
2309,Song of Songs,Christian Church,-500,Jewish,Hebrew
38,Great Expectations,Charles Dickens,1860,British,English
99,Orlando,Virginia Woolf,1928,British,English
268,The Pickwick Papers,Charles Dickens,1836,British,English
3218,Sóngoro cosongo,Nicolás Guillén,1931,Cuban,Spanish
191,A Room of One's Own,Virginia Woolf,1929,British,English
1267,The Stories of Raymond Carver,Raymond Carver,1981,American,English
2476,Metaphysics,Aristotle,-347,Greek,Ancient greek
1965,The Poetry of Luis Cernuda,Luis Cernuda,1901,Spanish,Spanish
562,Black Lamb and Grey Falcon,Rebecca West,1941,British,English
2477,Curial e Güelfa,Unknown,1450,Spanish,Catalan
4244,América Hispánica,Guillermo Céspedes del Castillo,1983,Peruvian,Spanish
32,Mrs. Dalloway,Virginia Woolf,1925,British,English
39,Frankenstein,Mary Shelley,1818,British,English
248,A Season in Hell,Arthur Rimbaud,1873,French,French
6,Moby-Dick,Herman Melville,1851,American,English
128,The Stories of Anton Chekhov,Anton Chekhov,1900,Russian,Russian
1989,Stanzas about the Death of his Father,Jorge Manrique,1476,Spanish,Spanish
349,Ada or Ardor,Vladimir Nabokov,1969,American,English
1184,The Snow Leopard,Peter Matthiessen,1978,American,English
3262,The Afternoon of Monsieur Andesmas,Marguerite Duras,1962,French,French
592,Facundo,Domingo Faustino Sarmiento,1845,Argentinian,Spanish
2501,The Way of a Pilgrim,Unknown,1884,Russian,Russian
635,Panchatantra,Unknown,-300,Multiple,Sanskrit
566,Sanctuary,William Faulkner,1931,American,English
743,Fortunata and Jacinta,Benito Pérez Galdós,1887,Spanish,Spanish
42,"Absalom, Absalom!",William Faulkner,1936,American,English
3,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
137,The Charterhouse of Parma,Stendhal,1839,French,French
1488,Guzmán de Alfarache,Mateo Alemán,1599,Spanish,Spanish
3327,Poems,Miguel de Unamuno,1907,Spanish,Spanish
3015,The Invention of Solitude,Paul Auster,1982,American,English
1203,The Year of the Death of Ricardo Reis,José Saramago,1984,Portuguese,Portuguese
2526,Gospels,Unknown,70,Multiple,Greek
1047,Upanishads,Unknown,-799,Indian,Sanskrit
1349,Letters from a Stoic,Seneca,64,Roman,Latin
300,Medea,Euripides,-431,Greek,Ancient greek
1987,Elizabeth Costello,J. M. Coetzee,2003,South African,English
59,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian
2527,The Crisis of European Sciences and Transcendental Phenomenology,Edmund Husserl,1936,German,German
15,Pride and Prejudice,Jane Austen,1813,British,English
2528,Poetry,Quintus Lutatius Catulus,-89,Roman,Latin
677,The Nibelungenlied,Unknown,1200,German,Middle high german
100,Waiting for Godot,Samuel Beckett,1953,Irish,French
