rank,book,authors,year,country,language
216,Watership Down,Richard Adams,1972,British,English
296,The House of the Spirits,Isabel Allende,1982,Chilean,Spanish
3570,The Queen's Tiara,Carl Jonas Love Almqvist,1834,Swedish,Swedish
195,The Flowers of Evil,Charles Baudelaire,1857,French,French
1714,The Long Ships,Frans G. Bengtsson,1941,Swedish,Swedish
21,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek"
1756,Kallocain,Karin Boye,1940,Swedish,Swedish
243,Death of Virgil,Hermann Broch,1945,Austrian,German
14,Wuthering Heights,Emily Brontë,1847,British,English
34,The Master and Margarita,Mikhail Bulgakov,1967,Russian,Russian
417,The Baron in the Trees,Italo Calvino,1957,Italian,Italian
23,The Stranger,Albert Camus,1942,French,French
809,The Lost Steps,Alejo Carpentier,1953,Cuban,Spanish
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English
49,Journey to the End of The Night,Louis-Ferdinand Céline,1932,French,French
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
535,The Lady with the Dog,Anton Chekhov,1899,Russian,Russian
31,Heart of Darkness,Joseph Conrad,1899,British,English
28,The Divine Comedy,Dante Alighieri,1308,Italian,Italian
4349,Samuels bok,Sven Delblanc,1981,Swedish,Swedish
268,The Pickwick Papers,Charles Dickens,1836,British,English
46,David Copperfield,Charles Dickens,1849,British,English
13,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian
59,The Idiot,Fyodor Dostoevsky,1869,Russian,Russian
18,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian
181,An American Tragedy,Theodore Dreiser,1925,American,English
6312,The Dog,Kerstin Ekman,1986,Swedish,Swedish
3055,Second-class Citizen,Buchi Emecheta,1974,Nigerian,English
182,Light in August,William Faulkner,1932,American,English
4057,Collected Poems,Nils Ferlin,1947,Swedish,Swedish
19,Madame Bovary,Gustave Flaubert,1857,French,French
2271,Stockholm series,Per Anders Fogelström,1960,Swedish,Swedish
2186,Simon and the Oaks,Marianne Fredriksson,1985,Swedish,Swedish
2621,The Women's Room,Marilyn French,1977,American,English
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
202,The Counterfeiters,André Gide,1925,French,French
94,Faust,Johann Wolfgang von Goethe,1808,German,German
1692,My Childhood,Maxim Gorky,1913,Russian,Russian
124,The Wind in the Willows,Kenneth Grahame,1908,British,English
212,Brighton Rock,Graham Greene,1938,British,English
174,The Good Soldier Švejk,Jaroslav Hašek,1921,Czech,Czech
35,Catch-22,Joseph Heller,1961,American,English
57,The Sun Also Rises,Ernest Hemingway,1926,American,English
52,The Old Man and the Sea,Ernest Hemingway,1952,American,English
162,Steppenwolf,Hermann Hesse,1927,German,German
26,The Odyssey,Homer,-740,Greek,Ancient greek
394,The World According to Garp,John Irving,1978,American,English
5386,After the Flood,P. C. Jersild,1982,Swedish,Swedish
1263,The Days of His Grace,Eyvind Johnson,1960,Swedish,Swedish
1,Ulysses,James Joyce,1922,Irish,English
5965,They Burn the Thistles,Yaşar Kemal,1969,Turkish,Turkish
2643,The Czar's Madman,Jaan Kross,1978,Estonian,Estonian
1052,The Dwarf,Par Lagerkvist,1944,Swedish,Swedish
579,Barabbas,Par Lagerkvist,1950,Swedish,Swedish
1729,The Emperor of Portugallia,Selma Lagerlöf,1914,Swedish,Swedish
3752,Mannen utan väg,Erik Lindegren,1942,Swedish,Swedish
283,Pippi Longstocking,Astrid Lindgren,1945,Swedish,Swedish
2064,"Mio, My Son",Astrid Lindgren,1954,Swedish,Swedish
8024,Bathsheba,Torgny Lindgren,1984,Swedish,Swedish
3823,The Wind on the Moon,Eric Linklater,1944,British,English
1233,The Unknown Soldier,Väinö Linna,1954,Finnish,Finnish
88,Buddenbrooks,Thomas Mann,1901,German,German
29,The Magic Mountain,Thomas Mann,1924,German,German
1736,Flowering Nettle,Harry Martinson,1935,Swedish,Swedish
1868,The Road to Klockrike,Harry Martinson,1948,Swedish,Swedish
396,The Razor's Edge,W. Somerset Maugham,1944,British,English
832,The Thorn Birds,Colleen McCullough,1977,Australian,English
185,Winnie the Pooh,A. A. Milne,1926,British,English
1631,The Emigrants,Vilhelm Moberg,1949,Swedish,Swedish
318,History,Elsa Morante,1974,Italian,Italian
2546,Bokhandlaren som slutade bada,Fritiof Nilsson Piraten,1937,Swedish,Swedish
104,Doctor Zhivago,Boris Pasternak,1957,Russian,Russian
2,In Search of Lost Time,Marcel Proust,1913,French,French
87,All Quiet on the Western Front,Erich Maria Remarque,1928,German,German
5,The Catcher in the Rye,J. D. Salinger,1951,American,English
1480,The Alberta Trilogy,Cora Sandel,1926,Norwegian,Norwegian
4919,The Werewolf,Aksel Sandemose,1958,Norwegian,Norwegian
116,First Folio,William Shakespeare,1623,British,English
5335,The bells of Bicêtre,Georges Simenon,1963,Belgian,French
107,Oedipus the King,Sophocles,-429,Greek,Ancient greek
1300,Barefoot,Zaharia Stancu,1948,Romanian,Romanian
27,The Grapes of Wrath,John Steinbeck,1939,American,English
43,The Red and the Black,Stendhal,1830,French,French
137,The Charterhouse of Parma,Stendhal,1839,French,French
512,The Red Room,August Strindberg,1879,Swedish,Swedish
1480,The People of Hemsö,August Strindberg,1887,Swedish,Swedish
1732,Doctor Glas,Hjalmar Soderberg,1905,Swedish,Swedish
1721,The Serious Game,Hjalmar Soderberg,1912,Swedish,Swedish
12,War and Peace,Leo Tolstoy,1869,Russian,Russian
10,Anna Karenina,Leo Tolstoy,1877,Russian,Russian
1076,The Christmas Oratorio,Göran Tunström,1983,Swedish,Swedish
22,Adventures of Huckleberry Finn,Mark Twain,1884,American,English
292,Kristin Lavransdatter,Sigrid Undset,1920,Norwegian,Norwegian
754,Twenty Thousand Leagues Under the Sea,Jules Verne,1870,French,French
74,Candide,Voltaire,1759,French,French
1941,House with the Blind Glass Windows,Herbjørg Wassmo,1981,Norwegian,Norwegian
734,Thérèse Raquin,Émile Zola,1867,French,French
2113,Aniara,Harry Martinson,1956,Swedish,Swedish
20,The Trial,Franz Kafka,1925,Czech,German
546,Amerika,Franz Kafka,1927,Czech,German
