rank,book,authors,year,country,language
21,The Bible,Unknown,-1400,Jewish,"Hebrew, aramaic, greek"
1,Ulysses,James Joyce,1922,Irish,English
2,In Search of Lost Time,Marcel Proust,1913,French,French
18,The Brothers Karamazov,Fyodor Dostoevsky,1880,Russian,Russian
6,Moby-Dick,Herman Melville,1851,American,English
12,War and Peace,Leo Tolstoy,1869,Russian,Russian
5,The Catcher in the Rye,J. D. Salinger,1951,American,English
116,First Folio,William Shakespeare,1623,British,English
10,Anna Karenina,Leo Tolstoy,1877,Russian,Russian
22,Adventures of Huckleberry Finn,Mark Twain,1884,American,English
247,"Look Homeward, Angel",Thomas Wolfe,1929,American,English
38,Great Expectations,Charles Dickens,1860,British,English
19,Madame Bovary,Gustave Flaubert,1857,French,French
115,Paradise Lost,John Milton,1667,British,English
447,Collected Poems,Wallace Stevens,1954,American,English
262,Collected Poems of W. B. Yeats,William Butler Yeats,1933,Irish,English
42,"Absalom, Absalom!",William Faulkner,1936,American,English
1437,The Collected Stories of William Faulkner,William Faulkner,1950,American,English
89,The Good Soldier,Ford Madox Ford,1915,British,English
81,A Portrait of the Artist as a Young Man,James Joyce,1916,Irish,English
11,Lolita,Vladimir Nabokov,1955,American,English
25,To the Lighthouse,Virginia Woolf,1927,British,English
49,Journey to the End of The Night,Louis-Ferdinand Céline,1932,French,French
8,Don Quixote,Miguel de Cervantes,1605,Spanish,Spanish
46,David Copperfield,Charles Dickens,1849,British,English
189,A Tale of Two Cities,Charles Dickens,1859,British,English
164,Poems of Emily Dickinson,Emily Dickinson,1890,American,English
789,Collected Poems of T.S. Eliot,T. S. Eliot,1963,British,English
628,Stories of Ernest Hemingway,Ernest Hemingway,1987,American,English
294,The Posthumous Memoirs of Bras Cubas,Machado de Assis,1881,Brazilian,Portuguese
85,Leaves of Grass,Walt Whitman,1855,American,English
1777,"Carry On, Jeeves",P. G. Wodehouse,1925,British,English
690,Encyclopedia Britannica,Encyclopedia Britannica,1768,British,English
48,One Thousand and One Nights,Unknown,800,Multiple,Arabic
2074,Desert Solitaire,Edward Abbey,1968,American,English
595,Poems of W. H. Auden,W. H. Auden,1930,British,English
1396,The Sot-Weed Factor,John Barth,1960,American,English
3439,The Works of Max Beerbohm,Max Beerbohm,1902,British,English
273,The Adventures of Augie March,Saul Bellow,1953,American,English
730,Henderson The Rain King,Saul Bellow,1959,American,English
2077,Oxford English Dictionary,Oxford University Press,1884,British,English
30,Jane Eyre,Charlotte Brontë,1847,British,English
14,Wuthering Heights,Emily Brontë,1847,British,English
326,Tarzan of the Apes,Edgar Rice Burroughs,1912,American,English
23,The Stranger,Albert Camus,1942,French,French
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,British,English
1043,Death on Credit,Louis-Ferdinand Céline,1936,French,French
954,The Worst Journey in the World,Apsley Cherry-Garrard,1922,British,English
31,Heart of Darkness,Joseph Conrad,1899,British,English
150,Lord Jim,Joseph Conrad,1900,British,English
28,The Divine Comedy,Dante Alighieri,1308,Italian,Italian
1761,The Deptford Trilogy,Robertson Davies,1970,Canadian,English
2609,The Hardy Boys,Franklin W. Dixon,1927,American,English
13,Crime and Punishment,Fyodor Dostoevsky,1866,Russian,Russian
209,The Complete Sherlock Holmes,Arthur Conan Doyle,1927,British,English
92,The Count of Monte Cristo,Alexandre Dumas,1844,French,French
24,Middlemarch,George Eliot,1871,British,English
33,Invisible Man,Ralph Ellison,1952,American,English
3,The Great Gatsby,F. Scott Fitzgerald,1925,American,English
184,Howards End,E. M. Forster,1910,British,English
79,A Passage to India,E. M. Forster,1924,British,English
308,The Poems of Robert Frost,Robert Frost,1913,American,English
235,The Forsyte Saga,John Galsworthy,1906,British,English
4,One Hundred Years of Solitude,Gabriel García Márquez,1967,Colombian,Spanish
84,The Tin Drum,Günter Grass,1959,German,German
35,Catch-22,Joseph Heller,1961,American,English
826,In Our Time,Ernest Hemingway,1925,American,English
57,The Sun Also Rises,Ernest Hemingway,1926,American,English
37,The Iliad,Homer,-750,Greek,Ancient greek
26,The Odyssey,Homer,-740,Greek,Ancient greek
227,The Ambassadors,Henry James,1903,American,English
66,The Portrait of a Lady,Henry James,1881,American,English
1312,The Principles of Psychology,William James,1890,American,English
1078,Andersonville,MacKinlay Kantor,1955,American,English
222,Darkness at Noon,Arthur Koestler,1940,British,German
2878,The Progress of Love,Alice Munro,1986,Canadian,English
1248,Selected Stories of Alice Munro,Alice Munro,1996,Canadian,English
337,The Complete Stories of Flannery O'Connor,Flannery O'Connor,1971,American,English
199,A Good Man Is Hard to Find,Flannery O'Connor,1953,American,English
2093,Tell Me a Riddle,Tillie Olsen,1961,American,English
1850,Little Disturbances,Grace Paley,1959,American,English
178,The Moviegoer,Walker Percy,1961,American,English
1119,Three Lives,Gertrude Stein,1909,American,English
2610,The Nero Wolfe Series,Rex Stout,1934,American,English
65,Gulliver's Travels,Jonathan Swift,1726,British,English
2534,Lad,Albert Payson Terhune,1919,American,English
1327,Collected Poems of Dylan Thomas,Dylan Thomas,1952,British,English
106,Walden,Henry David Thoreau,1854,American,English
74,Candide,Voltaire,1759,French,French
1234,Omeros,Derek Walcott,1990,Saint Lucian,English
449,A Handful of Dust,Evelyn Waugh,1934,British,English
328,Bonfire of the Vanities,Tom Wolfe,1987,American,English
5971,Duke of Deception,Geoffrey Wolff,1979,American,English
32,Mrs. Dalloway,Virginia Woolf,1925,British,English
99,Orlando,Virginia Woolf,1928,British,English
